trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.02, 'e': 0.07280286282743559}",20,6,26.268851462257068,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.02, 'e': 0.07136126955638605}",20,7,12.184923483858446,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.02, 'e': 0.06994822174465536}",20,5,16.21882294543916,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.02, 'e': 0.06856315415427791}",30,19,17.952536951607247,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.02, 'e': 0.06720551273974976}",30,18,26.270540674440383,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.02, 'e': 0.06587475442640295}",25,11,26.817728251150534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.02, 'e': 0.06457034689316847}",25,8,34.32706055073272,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.02, 'e': 0.0632917683596407}",25,7,31.060091200763672,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.02, 'e': 0.06203850737735829}",25,8,6.0791744034896915,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': 0.06081006262521795}",25,16,17.500262125706367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.02, 'e': 0.05960594270893937}",20,13,6.2863524496704555,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.02, 'e': 0.05842566596450083}",25,8,32.62034922974549,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.02, 'e': 0.05726876026546736}",25,11,26.62888516992299,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.02, 'e': 0.056134762834133725}",30,24,11.503108711913296,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.02, 'e': 0.05502322005640723}",20,0,18.607992777363155,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.02, 'e': 0.05393368730035602}",20,14,10.330459847039569,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.02, 'e': 0.05286572873835037}",30,11,31.923528355983983,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.02, 'e': 0.05181891717272583}",25,13,23.310572617078503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.02, 'e': 0.0507928338648985}",20,14,10.479177151549191,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.02, 'e': 0.049787068367863944}",30,12,31.34287347109259,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.02, 'e': 0.04880121836201296}",20,0,34.37762962492618,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.02, 'e': 0.04783488949419837}",20,11,16.327291152803763,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.02, 'e': 0.046887695219988486}",30,19,20.631139883999786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.02, 'e': 0.045959256649044204}",30,15,10.924783525359246,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.02, 'e': 0.0450492023935578}",30,20,20.380294035019293,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.02, 'e': 0.04415716841969286}",30,15,18.232097407055036,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.02, 'e': 0.043282797901965896}",25,14,23.650724689456908,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.02, 'e': 0.042425741080511385}",35,26,14.81715120977033,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.02, 'e': 0.04158565512117316}",20,11,-22.070487482653242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.02, 'e': 0.04076220397836621}",25,20,10.059560151386925,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.02, 'e': 0.039955058260653896}",25,15,18.400647389512777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.02, 'e': 0.039163895098987066}",20,2,20.34847508386823,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.02, 'e': 0.038388398017552054}",30,14,28.69361143440337,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.02, 'e': 0.0376282568071762}",20,8,24.59076136188053,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.02, 'e': 0.036883167401239994}",25,10,25.77839404202988,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.02, 'e': 0.03615283175404641}",25,14,19.110317164137832,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.02, 'e': 0.03543695772159864}",20,9,18.478217930430024,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.02, 'e': 0.03473525894473856}",20,12,15.845108468876388,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.02, 'e': 0.034047454734599344}",20,12,16.214656988956765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.02, 'e': 0.03337326996032608}",20,12,13.812361004730896,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.02, 'e': 0.03271243493901982}",35,14,41.04610070573005,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.02, 'e': 0.03206468532786077}",20,15,11.483632724895223,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.02, 'e': 0.03142976201836771}",20,12,17.671577996400625,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.02, 'e': 0.030807411032751076}",30,13,31.09653966724131,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.02, 'e': 0.0301973834223185}",25,7,32.686086221318625,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.02, 'e': 0.029599435167892}",20,14,6.7134899986354215,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.02, 'e': 0.029013327082197053}",30,12,-8.309468546745125,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.02, 'e': 0.028438824714184505}",20,0,32.602229793214185,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.02, 'e': 0.027875698255247015}",35,12,44.63729644065067,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.02, 'e': 0.02732372244729256}",20,8,22.465349252295724,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.02, 'e': 0.026782676492638175}",30,15,33.390817868706684,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.02, 'e': 0.02625234396568796}",25,11,24.956906775947097,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.02, 'e': 0.02573251272635994}",25,0,-2.4237554614263233,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
